x:image,y:label
./00/220.csv,0
./00/221.csv,0
./00/222.csv,0
./00/223.csv,0
./00/224.csv,0
./00/225.csv,0
./00/226.csv,0
./00/227.csv,0
./00/228.csv,0
./00/229.csv,0
./00/230.csv,0
./00/231.csv,0
./00/232.csv,0
./00/233.csv,0
./00/234.csv,0
./00/235.csv,0
./00/236.csv,0
./00/237.csv,0
./00/238.csv,0
./00/239.csv,0
./01/220.csv,1
./01/221.csv,1
./01/222.csv,1
./01/223.csv,1
./01/224.csv,1
./01/225.csv,1
./01/226.csv,1
./01/227.csv,1
./01/228.csv,1
./01/229.csv,1
./01/230.csv,1
./01/231.csv,1
./01/232.csv,1
./01/233.csv,1
./01/234.csv,1
./01/235.csv,1
./01/236.csv,1
./01/237.csv,1
./01/238.csv,1
./01/239.csv,1
./02/220.csv,2
./02/221.csv,2
./02/222.csv,2
./02/223.csv,2
./02/224.csv,2
./02/225.csv,2
./02/226.csv,2
./02/227.csv,2
./02/228.csv,2
./02/229.csv,2
./02/230.csv,2
./02/231.csv,2
./02/232.csv,2
./02/233.csv,2
./02/234.csv,2
./02/235.csv,2
./02/236.csv,2
./02/237.csv,2
./02/238.csv,2
./02/239.csv,2
./03/220.csv,3
./03/221.csv,3
./03/222.csv,3
./03/223.csv,3
./03/224.csv,3
./03/225.csv,3
./03/226.csv,3
./03/227.csv,3
./03/228.csv,3
./03/229.csv,3
./03/230.csv,3
./03/231.csv,3
./03/232.csv,3
./03/233.csv,3
./03/234.csv,3
./03/235.csv,3
./03/236.csv,3
./03/237.csv,3
./03/238.csv,3
./03/239.csv,3
./04/220.csv,4
./04/221.csv,4
./04/222.csv,4
./04/223.csv,4
./04/224.csv,4
./04/225.csv,4
./04/226.csv,4
./04/227.csv,4
./04/228.csv,4
./04/229.csv,4
./04/230.csv,4
./04/231.csv,4
./04/232.csv,4
./04/233.csv,4
./04/234.csv,4
./04/235.csv,4
./04/236.csv,4
./04/237.csv,4
./04/238.csv,4
./04/239.csv,4
./05/220.csv,5
./05/221.csv,5
./05/222.csv,5
./05/223.csv,5
./05/224.csv,5
./05/225.csv,5
./05/226.csv,5
./05/227.csv,5
./05/228.csv,5
./05/229.csv,5
./05/230.csv,5
./05/231.csv,5
./05/232.csv,5
./05/233.csv,5
./05/234.csv,5
./05/235.csv,5
./05/236.csv,5
./05/237.csv,5
./05/238.csv,5
./05/239.csv,5
./06/220.csv,6
./06/221.csv,6
./06/222.csv,6
./06/223.csv,6
./06/224.csv,6
./06/225.csv,6
./06/226.csv,6
./06/227.csv,6
./06/228.csv,6
./06/229.csv,6
./06/230.csv,6
./06/231.csv,6
./06/232.csv,6
./06/233.csv,6
./06/234.csv,6
./06/235.csv,6
./06/236.csv,6
./06/237.csv,6
./06/238.csv,6
./06/239.csv,6
./07/220.csv,7
./07/221.csv,7
./07/222.csv,7
./07/223.csv,7
./07/224.csv,7
./07/225.csv,7
./07/226.csv,7
./07/227.csv,7
./07/228.csv,7
./07/229.csv,7
./07/230.csv,7
./07/231.csv,7
./07/232.csv,7
./07/233.csv,7
./07/234.csv,7
./07/235.csv,7
./07/236.csv,7
./07/237.csv,7
./07/238.csv,7
./07/239.csv,7
