0,65
1,58
2,42
3,106
4,5
5,83
6,29
7,19
8,59
9,73
10,78
11,14
12,103
13,62
14,45
15,130
16,77
17,54
18,36
19,92
20,35
21,31
22,33
23,17
24,56
25,109
26,39
27,134
28,18
29,114
30,16
31,84
32,4
33,40
34,102
35,131
36,44
37,126
38,99
39,53
40,115
41,11
42,104
43,74
44,12
45,2
46,48
47,98
48,6
49,89
50,110
51,95
52,118
53,97
54,111
55,55
56,66
57,93
58,69
59,46
60,91
61,28
62,51
63,108
64,135
65,85
66,75
67,10
68,34
69,32
70,107
71,38
72,121
73,139
74,27
75,23
76,67
77,117
78,124
79,120
80,90
81,116
82,132
83,122
84,64
85,15
86,82
87,41
88,80
89,52
90,26
91,76
92,43
93,24
94,128
95,100
96,112
97,49
98,21
99,70
100,3
101,136
102,30
103,138
104,47
105,123
106,88
107,8
108,81
109,60
110,0
111,1
112,57
113,22
114,61
115,63
116,7
117,9
118,125
119,13
120,86
121,96
122,94
123,119
124,113
125,105
126,127
127,87
128,68
129,50
130,101
131,20
132,25
133,71
134,129
135,79
136,133
137,137
138,72
139,37
